TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText1.started,space_to_continue.started,welcomeText2.started,space_to_continue_2.started,Win.started,Keys.started,Mouse.started,Keys.keys,Keys.rt,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,Win_2.stopped,WinMsg.stopped,Win_3.stopped,WinMsg_2.stopped,exitText.started,exitText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
gain,0.2,0.0,0.56,top,left,1.92,0,0,36,36,55,,,,,,,,,,,,,,,,,269.5604881250183,269.5604881250183,0.006844582996563986,right,1.7060629159968812,0.3287037037037037,-0.2025462962962963,0,0,0,271.2929481670144,271.2929481670144,273.30097287500394,273.30097287500394,275.2982772499963,277.2299957500072,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.5,0.33,top,left,1.51,1,0,37,37,11,,,,,,,,,,,,,,,,,277.2299957500072,277.2299957500072,0.011170249985298142,right,0.4835624999832362,0.3287037037037037,-0.2025462962962963,0,0,0,277.73341620899737,277.73341620899737,279.73968983400846,279.73968983400846,281.7314123340184,283.24841091700364,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.3,0.09,top,right,1.24,0,0,38,38,1,,,,,,,,,,,,,,,,,283.24841091700364,283.24841091700364,0.00517658400349319,left,0.3313832500134595,0.3287037037037037,-0.2025462962962963,0,0,0,283.6002335840021,283.6002335840021,285.6156805420178,285.6156805420178,288.91499225000734,290.1733890839969,287.60649108400685,287.60649108400685,287.60649108400685,288.6874576669943,288.6874576669943,8.458333333333334,1.0742130420112517,space,0.19998083298560232,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.5,0.26,bottom,left,1.34,0,0,39,39,10,,,,,,,,,,,,,,,,,290.1733890839969,290.1733890839969,0.0046830000064801425,right,0.5883743329904974,0.3287037037037037,-0.2025462962962963,0,0,0,290.7822835840052,290.7822835840052,292.7897660419985,292.7897660419985,294.7981659170182,296.16185429200414,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.6,-1.49,0.0,bottom,left,1.56,0,0,40,40,144,,,,,,,,,,,,,,,,,296.16185429200414,296.16185429200414,0.009603667014744133,left,0.415334791992791,0.3287037037037037,-0.2025462962962963,0,0,0,296.59758600001805,296.59758600001805,298.5995089170174,298.5995089170174,300.6065702920023,302.18607420899207,,,,,,,,,,298.5995089170174,298.5995089170174,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.5,0.0,1.0,bottom,right,1.98,0,0,41,41,82,,,,,,,,,,,,,,,,,302.18607420899207,302.18607420899207,0.00902991701150313,right,0.4459935830091126,0.3287037037037037,-0.2025462962962963,0,0,0,302.6510419170081,302.6510419170081,304.66096454201033,304.66096454201033,309.3665189589956,311.35419429201283,306.6564908750006,306.6564908750006,306.6564908750006,308.84809908401803,308.84809908401803,8.458333333333334,2.1743956249847542,space,0.5025555839820299,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.3,0.0,1.5,bottom,left,1.04,0,0,42,42,69,,,,,,,,,,,,,,,,,311.35419429201283,311.35419429201283,0.009896500007016584,right,0.9961555000045337,0.3287037037037037,-0.2025462962962963,0,0,0,312.3783371669997,312.3783371669997,314.3929236670083,314.3929236670083,316.38139104199945,317.42946924999706,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-1.5,2.25,bottom,right,1.51,0,0,43,43,48,,,,,,,,,,,,,,,,,317.42946924999706,317.42946924999706,0.011699041991960257,right,0.5047373330162372,0.3287037037037037,-0.2025462962962963,0,0,0,317.9668923749996,317.9668923749996,319.97452916699694,319.97452916699694,321.96167212500586,323.48045991701656,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.4,-0.99,0.0,top,left,1.33,0,0,44,44,124,,,,,,,,,,,,,,,,,323.48045991701656,323.48045991701656,0.011626708990661427,right,0.6532317920064088,0.3287037037037037,-0.2025462962962963,0,0,0,324.1603042920178,324.1603042920178,326.1768513749994,326.1768513749994,329.4147853339964,330.7535708750074,328.16481087499415,328.16481087499415,328.16481087499415,329.2314263340086,329.2314263340086,8.458333333333334,1.042748208012199,space,0.16531679200124927,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.2,0.0,0.44,top,right,1.06,0,0,45,45,53,,,,,,,,,,,,,,,,,330.7535708750074,330.7535708750074,0.011934417008887976,right,0.5467137500236277,0.3287037037037037,-0.2025462962962963,0,0,0,331.33386591699673,331.33386591699673,333.3388362500118,333.3388362500118,335.3394306249975,336.41100575000746,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.3,-1.08,0.0,top,right,1.25,0,0,46,46,117,,,,,,,,,,,,,,,,,336.41100575000746,336.41100575000746,0.009230583993485197,right,0.6867028340057004,0.3287037037037037,-0.2025462962962963,0,0,0,337.116855166998,337.116855166998,339.1347307499964,339.1347307499964,341.1115800419939,342.38211754200165,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.5,0.0,1.4,bottom,left,1.76,0,0,47,47,85,,,,,,,,,,,,,,,,,342.38211754200165,342.38211754200165,0.01166658301372081,right,0.47945387501385994,0.3287037037037037,-0.2025462962962963,0,0,0,342.89616504200967,342.89616504200967,344.9014275840018,344.9014275840018,348.917257958994,350.6987831250008,346.9063014170097,346.9063014170097,346.9063014170097,348.72297583401087,348.72297583401087,8.458333333333334,1.7994159589870833,space,0.17644745897268876,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.5,-0.91,0.0,top,left,1.0,0,0,48,48,131,,,,,,,,,,,,,,,,,350.6987831250008,350.6987831250008,0.011712999985320494,left,0.45010924997041,0.3287037037037037,-0.2025462962962963,0,0,0,351.1734223749954,351.1734223749954,353.1847994590062,353.1847994590062,355.1806059590017,356.18698762499844,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
