Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
127	14	mix	2952.1577213001437	2952.1632541003637	2956.223211200442	2958.238720500376	4.0599571000784636	0	-0.5	0.5	top	left	left	gamble	good	0.5	19.51	
128	20	mix	2962.786216000095	2962.7925181002356	2965.3182777003385	2965.325242300052	2.5257596001029015	0	-0.8	0.66	top	left	right	safe	good	0.0	19.51	
129	18	mix	2972.7415934000164	2972.7423576000147	2975.5295797004364	2975.5371259003878	2.7872221004217863	0	-0.8	0.42	top	right	left	safe	bad	0.0	19.51	
130	109	loss	2989.6044809999876	2989.6053169001825	2993.3201147001237	2995.335330000147	3.7147977999411523	-0.2	-0.84	0	bottom	right	right	gamble	good	0.0	19.51	
131	110	loss	3000.5377421001904	3000.5446909000166	3004.197795400396	3004.205068500247	3.6531045003794134	-0.2	-1	0	top	left	right	safe	bad	-0.2	19.31	
132	4	mix	3011.4290642002597	3011.429824199993	3014.7254354003817	3014.733003400266	3.295611200388521	0	-0.3	0.16	top	right	left	safe	bad	0.0	19.31	
133	19	mix	3027.3861216004007	3027.386859100312	3030.0003422000445	3032.017164300196	2.613483099732548	0	-0.8	0.53	bottom	right	right	gamble	bad	-0.8	18.51	
134	94	gain	3037.475555300247	3037.4762865002267	3040.178188400343	3042.1944334004074	2.7019019001163542	0.6	0	1.33	bottom	right	right	gamble	bad	0.0	18.51	
135	9	mix	3047.5472119003534	3047.548151700292	3050.639892200008	3050.645089900121	3.091740499716252	0	-0.5	0.15	bottom	right	left	safe	bad	0.0	18.51	
136	83	gain	3062.0346975000575	3062.0354571002536	3065.5486878002994	3067.5638921000063	3.513230700045824	0.5	0	1	bottom	right	right	gamble	good	1.0	19.51	
137	81	gain	3073.0601075002924	3073.065661200322	3076.7091156002134	3076.715765000321	3.6434543998911977	0.5	0	0.84	bottom	left	right	safe	good	0.5	20.01	
138	44	mix	3084.2437072000466	3084.2444371003658	3087.0867981002666	3087.094161200337	2.8423609999008477	0	-1.1	1.1	bottom	right	left	safe	good	0.0	20.01	
139	125	loss	3100.281037100125	3100.2869872003794	3104.061214600224	3106.0768817001954	3.7742273998446763	-0.4	-0.99	0	top	left	left	gamble	good	0.0	20.01	
140	117	loss	3110.9204053999856	3110.921136600431	3114.5728532001376	3114.580379500054	3.6517165997065604	-0.3	-0.95	0	top	right	left	safe	good	-0.3	19.71	
141	149	loss	3121.155303200241	3121.1560297003016	3126.2500297003426	3128.265759100206	5.094000000040978	-0.6	-2.52	0	bottom	right	right	gamble	good	0.0	19.71	
142	132	loss	3139.3260608003475	3139.3329711002298	3142.874085200019	3142.8816818003543	3.541114099789411	-0.5	-0.91	0	top	left	right	safe	bad	-0.5	19.21	
143	145	loss	3149.4242669004016	3149.4312241002917	3154.1853575003333	3154.1935123000294	4.75413340004161	-0.6	-1.49	0	top	left	right	safe	good	-0.6	18.61	
144	119	loss	3161.3071710001677	3161.30789560033	3165.662543100305	3167.6785278003663	4.354647499974817	-0.3	-1.26	0	bottom	right	right	gamble	bad	-1.26	17.35	
145	111	loss	3178.222450500354	3178.2293532001786	3182.9695980004035	3184.985132700298	4.7402448002249	-0.3	-0.5	0	top	left	left	gamble	bad	-0.5	16.85	
146	57	gain	3190.4014827003703	3190.4087591003627	3193.0647400002927	3195.0807976000942	2.6559808999300003	0.2	0	0.63	top	left	left	gamble	good	0.63	17.48	
147	41	mix	3200.0488264001906	3200.0575392004102	3203.176010400057	3205.19237370044	3.118471199646592	0	-0.8	0.96	bottom	left	left	gamble	bad	-0.8	16.68	
148	136	loss	3217.800623100251	3217.8087332001887	3220.5835221000016	3220.590639900416	2.7747888998128474	-0.5	-1.4	0	top	left	right	safe	good	-0.5	16.18	
149	128	loss	3227.452766000293	3227.4534848001786	3231.1936257001944	3231.1983155002818	3.740140900015831	-0.4	-1.44	0	top	right	left	safe	good	-0.4	15.78	
150	135	loss	3238.7144416002557	3238.7192750000395	3242.0051025003195	3244.0218483000062	3.285827500279993	-0.5	-1.24	0	top	left	left	gamble	good	0.0	15.78	
151	141	loss	3255.515488100238	3255.524639100302	3259.3129869000986	3259.320934700314	3.788347799796611	-0.6	-1.01	0	bottom	left	right	safe	good	-0.6	15.18	
152	39	mix	3265.9784898003563	3265.9857004000805	3269.658563400153	3269.6658066003583	3.672863000072539	0	-0.5	0.75	top	left	right	safe	bad	0.0	15.18	

Start Time: 09:58:16
End Time: 10:52:53
