11.5595 	EXP 	faces: size = array([1.04166667, 1.16666667])
11.5595 	EXP 	faces: image = 'same/120_DV_C2.jpg'
11.5595 	EXP 	faces: autoDraw = True
11.8187 	DATA 	Keypress: right
11.8339 	EXP 	New trial (rep=0, index=29): {'imageFile': 'same/108_DV_C2.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
11.8650 	EXP 	faces: autoDraw = False
11.8650 	EXP 	faces: ori = 180.0
11.8650 	EXP 	faces: size = array([1.04166667, 1.16666667])
11.8650 	EXP 	faces: image = 'same/108_DV_C2.jpg'
11.8650 	EXP 	faces: autoDraw = True
11.9016 	EXP 	New trial (rep=0, index=30): {'imageFile': 'different/091_283_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
11.9178 	DATA 	Keypress: left
11.9234 	EXP 	faces: autoDraw = False
11.9234 	EXP 	faces: ori = 0.0
11.9234 	EXP 	faces: size = array([1.04166667, 1.16666667])
11.9234 	EXP 	faces: image = 'different/091_283_R.jpg'
11.9234 	EXP 	faces: autoDraw = True
12.0850 	DATA 	Keypress: left
12.1019 	EXP 	New trial (rep=0, index=31): {'imageFile': 'same/068_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
12.1278 	EXP 	faces: autoDraw = False
12.1278 	EXP 	faces: ori = 0.0
12.1278 	EXP 	faces: size = array([1.04166667, 1.16666667])
12.1278 	EXP 	faces: image = 'same/068_C2_DV.jpg'
12.1278 	EXP 	faces: autoDraw = True
12.2185 	EXP 	New trial (rep=0, index=32): {'imageFile': 'different/254_287_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
12.2398 	DATA 	Keypress: right
12.2451 	EXP 	faces: autoDraw = False
12.2451 	EXP 	faces: ori = 180.0
12.2451 	EXP 	faces: size = array([1.04166667, 1.16666667])
12.2451 	EXP 	faces: image = 'different/254_287_L.jpg'
12.2451 	EXP 	faces: autoDraw = True
12.5166 	EXP 	New trial (rep=0, index=33): {'imageFile': 'same/069_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
12.5311 	DATA 	Keypress: right
12.5355 	EXP 	faces: autoDraw = False
12.5355 	EXP 	faces: ori = 0.0
