TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText1.started,space_to_continue.started,welcomeText2.started,space_to_continue_2.started,Win.started,Keys.started,Mouse.started,Keys.keys,Keys.rt,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,Win_2.stopped,WinMsg.stopped,exitText.started,participant,session,date,expName,psychopyVersion,frameRate,
gain,0.2,0.0,0.56,top,left,1.92,0,0,25,25,24,,,,,,,,,,,,,,,,,177.93011758400826,177.93011758400826,0.009465292008826509,left,1.1910570419859141,-0.16435185185185186,-0.20601851851851852,0,0,0,179.14139854200766,179.14139854200766,181.15807091700844,181.15807091700844,183.15578674999415,185.09596825001063,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.5,0.2,top,left,1.39,0,0,26,26,9,,,,,,,,,,,,,,,,,185.09596825001063,185.09596825001063,0.00925779200042598,left,0.5115741670015268,-0.16435185185185186,-0.20601851851851852,0,0,0,185.63072012501652,185.63072012501652,187.65162237500772,187.65162237500772,191.16546841699164,192.56449245900149,189.64143979200162,189.64143979200162,189.64143979200162,190.99442854200606,190.99442854200606,4.020833333333333,1.341039000020828,space,0.15686166699742898,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-1.09,0.0,bottom,right,1.93,1,0,27,27,29,,,,,,,,,,,,,,,,,192.56449245900149,192.56449245900149,0.012066249997587875,left,0.9384968339873012,-0.16435185185185186,-0.20601851851851852,0,0,0,193.53720858399174,193.53720858399174,195.5403253340046,195.5403253340046,197.5388349170098,199.47672241699183,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-1.33,0.0,top,right,1.69,0,0,28,28,31,,,,,,,,,,,,,,,,,199.47672241699183,199.47672241699183,0.008024915994610637,left,0.5285174999735318,-0.16435185185185186,-0.20601851851851852,0,0,0,200.02572112501366,200.02572112501366,202.0555663749983,202.0555663749983,204.01933041700977,205.72367958401446,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.5,0.41,bottom,right,1.09,1,0,29,29,12,,,,,,,,,,,,,,,,,205.72367958401446,205.72367958401446,0.01256791700143367,left,0.36750279198167846,-0.16435185185185186,-0.20601851851851852,0,0,0,206.11711200000718,206.11711200000718,208.12426179199247,208.12426179199247,211.6084702090011,212.70818429201609,210.12217775001773,210.12217775001773,210.12217775001773,211.469406084012,211.469406084012,4.020833333333333,1.3419256249908358,space,0.11640908298431896,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.5,0.26,bottom,left,1.34,0,0,30,30,10,,,,,,,,,,,,,,,,,212.70818429201609,212.70818429201609,0.004817917011678219,left,0.4864863749826327,-0.16435185185185186,-0.20601851851851852,0,0,0,213.22272233400145,213.22272233400145,215.22285708400887,215.22285708400887,217.21923233399866,218.5812005000189,,,,,,,,,,215.22285708400887,215.22285708400887,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.8,0.32,bottom,right,1.95,0,0,31,31,16,,,,,,,,,,,,,,,,,218.5812005000189,218.5812005000189,0.010815250017913058,left,0.5770595419744495,-0.16435185185185186,-0.20601851851851852,0,0,0,219.18421974999364,219.18421974999364,221.20541562500875,221.20541562500875,223.1886008339934,225.15214329201262,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-1.01,0.0,top,left,1.1,0,0,32,32,28,,,,,,,,,,,,,,,,,225.15214329201262,225.15214329201262,0.01012187500600703,left,0.5351296669978183,-0.16435185185185186,-0.20601851851851852,0,0,0,225.7065982920176,225.7065982920176,227.72522641700925,227.72522641700925,231.22482441700413,232.3360003750131,229.71366366700386,229.71366366700386,229.71366366700386,231.08640779199777,231.08640779199777,4.020833333333333,1.3659485829994082,space,0.11231108297943138,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-2.16,0.0,top,right,1.49,0,0,33,33,35,,,,,,,,,,,,,,,,,232.3360003750131,232.3360003750131,0.008178167016012594,left,0.6206012500042561,-0.16435185185185186,-0.20601851851851852,0,0,0,232.99316116701812,232.99316116701812,234.99951258400688,234.99951258400688,236.99711941700662,238.49528358399402,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.8,0.53,top,right,1.94,0,0,34,34,18,,,,,,,,,,,,,,,,,238.49528358399402,238.49528358399402,0.0108613750198856,left,1.0060433339967858,-0.16435185185185186,-0.20601851851851852,0,0,0,239.52622600001632,239.52622600001632,241.5415198340197,241.5415198340197,243.52095491701039,245.4748830840108,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.3,0.25,top,left,1.67,1,0,35,35,5,,,,,,,,,,,,,,,,,245.4748830840108,245.4748830840108,0.006799583992687985,right,0.40955512499203905,-0.16435185185185186,-0.20601851851851852,0,0,0,245.91578325000592,245.91578325000592,247.9206486250041,247.9206486250041,251.00812312500784,252.6930952919938,249.92204283401952,249.92204283401952,249.92204283401952,250.85529262499767,250.85529262499767,4.020833333333333,0.9259506249800324,space,0.12906820900388993,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.8,0.24,top,left,1.51,0,0,36,36,15,,,,,,,,,,,,,,,,,252.6930952919938,252.6930952919938,0.007187499984866008,left,0.347122125007445,-0.16435185185185186,-0.20601851851851852,0,0,0,253.06679675000487,253.06679675000487,255.08310750001692,255.08310750001692,257.0738784169953,258.6050009590108,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.3,0.12,bottom,right,1.3,1,0,37,37,2,,,,,,,,,,,,,,,,,258.6050009590108,258.6050009590108,0.01015870799892582,right,0.3009789169882424,-0.16435185185185186,-0.20601851851851852,0,0,0,258.94161941701896,258.94161941701896,260.957457417011,260.957457417011,262.9469530839997,264.2460586249945,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.2460586249945,,,,,,,
